date,std ppm,area,component,qc(y/n),"qc analysis time(beg,mid,end)",time,Equation,RSQ
3/15/2019,0,0.0000,,,,10am,y=379.96x+4.1588,
3/15/2019,0,0.0000,,,,10am,,
3/15/2019,0.1,45.9516,,,,10am,,
3/15/2019,0.1,44.4200,,,,10am,,
3/15/2019,0.1,45.3351,,,,10am,,
3/15/2019,1,389.0948,,,,10am,,
3/15/2019,1,386.0887,,,,10am,,
3/15/2019,1,376.2528,,,,10am,,
3/15/2019,0,0.0000,,,,7pm,,
3/15/2019,0,0.0000,,,,7pm,,
3/15/2019,0.1,45.6687,,,,7pm,,
3/15/2019,0.1,42.3430,,,,7pm,,
3/15/2019,0.1,43.2430,,,,7pm,,
3/15/2019,1,376.6968,,,,7pm,,
3/15/2019,1,374.8890,,,,7pm,,
3/15/2019,1,379.3027,,,,7pm,,
4/2/2019,0,0.0000,,,,10am,y=404.35x+.3986,
4/2/2019,0,0.0000,,,,10am,,
4/2/2019,0.1,36.7499,,,,10am,,
4/2/2019,0.1,42.5964,,,,10am,,
4/2/2019,0.1,44.0414,,,,10am,,
4/2/2019,1,389.6460,,,,10am,,
4/2/2019,1,405.1274,,,,10am,,
4/2/2019,1,419.3954,,,,10am,,
4/2/2019,0,0.0000,,,,7:35pm,,
4/2/2019,0,0.0000,,,,7:35pm,,
4/2/2019,0.1,41.6556,,,,7:35pm,,
4/2/2019,0.1,38.8258,,,,7:35pm,,
4/2/2019,0.1,45.5648,,,,7:35pm,,
4/2/2019,1,399.4214,,,,7:35pm,,
4/2/2019,1,371.1438,,,,7:35pm,,
4/2/2019,1,362.8744,,,,7:35pm,,
4/5/2019,0,0.0000,,,,10am,y=387.67x+3.9076,
4/5/2019,0,0.0000,,,,10am,,
4/5/2019,0.1,41.5284,,,,10am,,
4/5/2019,0.1,46.0152,,,,10am,,
4/5/2019,0.1,49.1636,,,,10am,,
4/5/2019,1,394.5439,,,,10am,,
4/5/2019,1,389.2108,,,,10am,,
4/5/2019,1,390.1076,,,,10am,,
4/5/2019,0,0.0000,,,,7pm,,
4/5/2019,0,0.0000,,,,7pm,,
4/5/2019,0.1,57.0850,,,,7pm,,
4/5/2019,0.1,47.1260,,,,7pm,,
4/5/2019,0.1,46.5534,,,,7pm,,
4/5/2019,1,421.4118,,,,7pm,,
4/5/2019,1,420.4488,,,,7pm,,
4/5/2019,1,423.3608,,,,7pm,,
4/19/2019,0,0.0000,,,,9am,y=393.18x+3.6465,
4/19/2019,0,0.0000,,,,9am,,
4/19/2019,0.1,48.1758,,,,9am,,
4/19/2019,0.1,44.6232,,,,9am,,
4/19/2019,0.1,44.1991,,,,9am,,
4/19/2019,1,401.5536,,,,9am,,
4/19/2019,1,390.3906,,,,9am,,
4/19/2019,1,397.7354,,,,9am,,
4/19/2019,0,0.0000,,,,3pm,,
4/19/2019,0,0.0000,,,,3pm,,
4/19/2019,0.1,59.3636,,,,3pm,,
4/19/2019,0.1,60.4732,,,,3pm,,
4/19/2019,0.1,54.4570,,,,3pm,,
4/19/2019,1,456.7880,,,,3pm,,
4/19/2019,1,456.7372,,,,3pm,,
4/19/2019,1,470.5456,,,,3pm,,
4/25/2019,0,0.0000,,,,9pm,y=342.45x+.7409,
4/25/2019,0,0.0000,,,,9pm,,
4/25/2019,0.1,34.6750,,,,9pm,,
4/25/2019,0.1,36.5126,,,,9pm,,
4/25/2019,0.1,35.4168,,,,9pm,,
4/25/2019,1,348.6458,,,,9pm,,
4/25/2019,1,339.1547,,,,9pm,,
4/25/2019,1,341.6086,,,,9pm,,
4/25/2019,0,0.0000,,,,4pm,,
4/25/2019,0,0.0000,,,,4pm,,
4/25/2019,0.1,45.0992,,,,4pm,,
4/25/2019,0.1,47.3154,,,,4pm,,
4/25/2019,0.1,43.8320,,,,4pm,,
4/25/2019,1,358.0258,,,,4pm,,
4/25/2019,1,359.5811,,,,4pm,,
4/25/2019,1,345.2478,,,,4pm,,
5/9/2019,0,0.0000,,,,8:30am,y=336.97x+9.2409,
5/9/2019,0,0.0000,,,,8:30am,,
5/9/2019,0.1,4.8698,,,,8:30am,,
5/9/2019,0.1,4.8698,,,,8:30am,,
5/9/2019,0.1,4.8698,,,,8:30am,,
5/9/2019,1,350.1705,,,,8:30am,,
5/9/2019,1,357.9352,,,,8:30am,,
5/9/2019,1,328.3596,,,,8:30am,,
5/9/2019,0,0.0000,,,,4:40pm,,
5/9/2019,0,0.0000,,,,4:40pm,,
5/9/2019,0.1,4.8698,,,,4:40pm,,
5/9/2019,0.1,4.8698,,,,4:40pm,,
5/9/2019,0.1,4.8698,,,,4:40pm,,
5/9/2019,1,288.4774,,,,4:40pm,,
5/9/2019,1,320.6756,,,,4:40pm,,
5/9/2019,1,320.9128,,,,4:40pm,,
10/18/2019,0,10.8900,n2o,n,,,,
10/18/2019,0,0.0000,n2o,n,,,,
10/18/2019,0,0.0000,n2o,n,,,,
10/18/2019,0.1,438.9804,n2o,n,,,,
10/18/2019,0.1,447.1784,n2o,n,,,,
10/18/2019,0.1,443.7794,n2o,n,,,,
10/18/2019,1,3232.2088,n2o,n,,,,
10/18/2019,1,3206.6672,n2o,n,,,,
10/18/2019,1,3206.2320,n2o,n,,,y=3159.3x+62.5,0.99869603
10/18/2019,0.1,453.3726,,y,mid study QC,,,
10/18/2019,0.1,448.5788,,y,mid study QC,,,
10/18/2019,0.1,432.7344,,y,mid study QC,,,
10/24/2019,0,0.0000,n2o,n,,,,
10/24/2019,0,15.9800,n2o,n,,,,
10/24/2019,0,0.0000,n2o,n,,,,
10/24/2019,0,0.0000,n2o,n,,,,
10/24/2019,0.1,379.3870,n2o,n,,,,
10/24/2019,0.1,325.5268,n2o,n,,,,
10/24/2019,0.1,325.8126,n2o,n,,,,
10/24/2019,0.1,310.5972,n2o,n,,,,
10/24/2019,1,3259.3660,n2o,n,,,,
10/24/2019,1,3218.0836,n2o,n,,,,
10/24/2019,1,3192.7076,n2o,n,,,y=3215.4x+8.6333,0.99973805
10/24/2019,1,2954.1240,n2o,y,mid study QC,,,
10/24/2019,1,2922.6744,n2o,y,mid study QC,,,
12/6/2019,0,0.0000,n20,,,,,
12/6/2019,0,0.0000,n2o,,,,,
12/6/2019,0,0.0000,n2o,,,,,
12/6/2019,0.1,417.8768,n2o,,,,,
12/6/2019,0.1,379.9004,n2o,,,,,
12/6/2019,0.1,399.8186,n2o,,,,,
12/6/2019,1,3278.4464,n2o,,,,,
12/6/2019,1,3220.1776,n2o,,,,,
12/6/2019,1,3334.7072,n2o,,,,y = 3246.4x +35.318,0.9992
12/20/2019,0,0.0000,n2o,,,,,
12/20/2019,0,0.0000,n2o,,,,,
12/20/2019,0,0.0000,n2o,,,,,
12/20/2019,0.1,324.3704,n2o,,,,,
12/20/2019,0.1,342.4920,n2o,,,,,
12/20/2019,0.1,320.1636,n2o,,,,,
12/20/2019,1,2569.6172,n2o,,,,,
12/20/2019,1,2575.5404,n2o,,,,,
12/20/2019,1,2538.0198,n2o,,,,,
1/15/2019,0,0.0000,n2o,,,,,
1/15/2019,0,0.0000,n2o,,,,,
1/15/2019,0,0.0000,n2o,,,,,
1/15/2019,0.1,378.8433,n2o,,,,,
1/15/2019,0.1,322.5038,n2o,,,,,
1/15/2019,0.1,418.7488,n2o,,,,,
1/15/2019,0.1,390.4708,n2o,,,,,
1/15/2019,0.1,454.6564,n2o,,,,,
1/15/2019,1,2571.1654,n2o,,,,,
1/15/2019,1,2584.1378,n2o,,,,,
1/15/2019,1,3046.8400,n2o,,,,,
1/15/2019,1,3408.9800,n2o,,,,,
1/15/2019,1,3488.8312,n2o,,,,,
1/15/2019,1,3519.0646,n2o,,,,,
1/15/2019,1,3511.0370,n2o,,,,,
1/15/2019,1,3721.9984,n2o,,,,,
1/21/2020,0,0.0000,,,,,,
1/21/2020,0,0.0000,,,,,,
1/21/2020,0,0,,,,,,
1/21/2020,0.1,575.5773,,,,,,
1/21/2020,0.1,509.0146,,,,,,
1/21/2020,0.1,519.9524,,,,,,
1/21/2020,1,4067.5291,,,,,,
1/21/2020,1,4087.7314,,,,,,
1/21/2020,1,4116.9544,,,,,,
1/24/2020,0,0.0000,,,,,,
1/24/2020,0,0.0000,,,,,,
1/24/2020,0,0.0000,,,,,,
1/24/2020,0.1,411.1916,,,,,,
1/24/2020,0.1,443.0376,,,,,,
1/24/2020,0.1,459.7540,,,,,,
1/24/2020,1,3919.0732,,,,,,
1/24/2020,1,4036.9026,,,,,,
1/24/2020,1,3928.7348,,,,,,
1/31/2020,0,0.0000,,,,,,
1/31/2020,0,0.0000,,,,,,
1/31/2020,0,0.0000,,,,,,
1/31/2020,0.1,451.0888,,,,,,
1/31/2020,0.1,453.8620,,,,,,
1/31/2020,0.1,474.2654,,,,,,
1/31/2020,1,4132.5924,,,,,,
1/31/2020,1,4059.8114,,,,,,
1/31/2020,1,4166.9868,,,,,,
2/14/2020,0,0.0000,,,,,,
2/14/2020,0,0.0000,,,,,,
2/14/2020,0,0.0000,,,,,,
2/14/2020,0.1,468.5404,,,,,,
2/14/2020,0.1,411.8668,,,,,,
2/14/2020,0.1,413.0414,,,,,,
2/14/2020,1,3671.9785,,,,,,
2/14/2020,1,3678.7684,,,,,,
2/14/2020,1,3736.8200,,,,,,
2/21/2020,0,0.0000,,,,,,
2/21/2020,0,0.0000,,,,,,
2/21/2020,0,0.0000,,,,,,
2/21/2020,0.1,519.7922,,,,,,
2/21/2020,0.1,468.6030,,,,,,
2/21/2020,0.1,454.6382,,,,,,
2/21/2020,0.1,445.5752,,,,,,
2/21/2020,1,3739.9394,,,,,,
2/21/2020,1,3675.6988,,,,,,
2/21/2020,1,3669.4766,,,,,,
2/22/2020,0.1,575.2502,,,,,,
2/22/2020,0.1,579.0696,,,,,,
2/22/2020,0.1,520.2752,,,,,,
2/22/2020,1,4761.9068,,,,,,
2/22/2020,1,4455.9280,,,,,,
2/22/2020,1,4963.2984,,,,,,
2/22/2020,0,0.0000,,,,,,
2/22/2020,0,0.0000,,,,,,
2/22/2020,0,0.0000,,,,,,
2/25/2020,0,0,,,,,,
2/25/2020,0,24.8056,,,,,,
2/25/2020,0,0,,,,,,
2/25/2020,0,0,,,,,,
2/25/2020,0.1,618.8464,,,,,,
2/25/2020,0.1,473.9064,,,,,,
2/25/2020,0.1,571.1548,,,,,,
2/25/2020,0.1,575.0076,,,,,,
2/25/2020,1,4494.2868,,,,,,
2/25/2020,1,3740.9704,,,,,,
2/25/2020,1,3970.2352,,,,,,
2/25/2020,1,4526.57,,,,,,
3/11/2020,0,0,,,,,,
3/11/2020,0,0,,,,,,
3/11/2020,0,0,,,,,,
3/11/2020,0.1,810.1304,,,,,,
3/11/2020,0.1,914.108,,,,,,
3/11/2020,0.1,817.203,,,,,,
3/11/2020,1,7493.1696,,,,,,
3/11/2020,1,7139.2504,,,,,,
3/11/2020,1,6196.035,,,,,,
3/11/2020,1,6886.0404,,,,,,
3/11/2020,1,6499.1524,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
